,Date,Ruonia
86,2018-11-21,7.12
87,2018-11-20,7.06
88,2018-11-19,7.01
89,2018-11-16,6.92
90,2018-11-15,7.01
91,2018-11-14,7.15
92,2018-11-13,7.39
93,2018-11-12,7.43
94,2018-11-09,7.37
95,2018-11-08,7.34
96,2018-11-07,7.35
97,2018-11-06,7.5
98,2018-11-02,7.28
99,2018-11-01,6.86
100,2018-10-31,7.06
101,2018-10-30,7.12
102,2018-10-29,7.2
103,2018-10-26,7.25
104,2018-10-25,7.32
105,2018-10-24,7.05
106,2018-10-23,7.1
107,2018-10-22,7.16
108,2018-10-19,7.36
109,2018-10-18,7.41
110,2018-10-17,7.29
111,2018-10-16,7.27
112,2018-10-15,7.35
113,2018-10-12,7.33
114,2018-10-11,7.32
115,2018-10-10,7.16
116,2018-10-09,7.06
117,2018-10-08,7.36
118,2018-10-05,7.53
119,2018-10-04,7.42
120,2018-10-03,7.36
121,2018-10-02,7.25
122,2018-10-01,7.27
123,2018-09-28,7.4
124,2018-09-27,7.23
125,2018-09-26,7.24
126,2018-09-25,7.47
127,2018-09-24,7.22
128,2018-09-21,7.23
129,2018-09-20,7.29
130,2018-09-19,7.01
131,2018-09-18,7.24
132,2018-09-17,7.24
133,2018-09-14,7.02
134,2018-09-13,7.0
135,2018-09-12,6.81
136,2018-09-11,7.01
137,2018-09-10,6.98
138,2018-09-07,6.97
139,2018-09-06,6.87
140,2018-09-05,7.0
141,2018-09-04,7.17
142,2018-09-03,7.15
143,2018-08-31,7.14
144,2018-08-30,7.14
145,2018-08-29,7.18
146,2018-08-28,7.26
147,2018-08-27,7.22
148,2018-08-24,6.97
149,2018-08-23,6.73
150,2018-08-22,6.96
151,2018-08-21,6.91
152,2018-08-20,6.97
153,2018-08-17,6.95
154,2018-08-16,7.08
155,2018-08-15,7.09
156,2018-08-14,7.18
157,2018-08-13,7.14
158,2018-08-10,7.15
159,2018-08-09,7.1
160,2018-08-08,7.02
161,2018-08-07,6.85
162,2018-08-06,6.86
163,2018-08-03,6.88
164,2018-08-02,6.97
165,2018-08-01,7.04
166,2018-07-31,7.74
167,2018-07-30,7.72
168,2018-07-27,7.71
169,2018-07-26,7.19
170,2018-07-25,7.0
171,2018-07-24,6.8
172,2018-07-23,6.76
173,2018-07-20,7.01
174,2018-07-19,7.09
175,2018-07-18,7.05
176,2018-07-17,7.19
177,2018-07-16,7.14
178,2018-07-13,7.13
179,2018-07-12,7.09
180,2018-07-11,7.06
181,2018-07-10,7.03
182,2018-07-09,6.64
183,2018-07-06,6.73
184,2018-07-05,7.0
185,2018-07-04,7.02
186,2018-07-03,6.72
187,2018-07-02,7.01
188,2018-06-29,7.16
189,2018-06-28,7.13
190,2018-06-27,7.21
191,2018-06-26,7.27
192,2018-06-25,7.11
193,2018-06-22,6.96
194,2018-06-21,6.96
195,2018-06-20,6.99
196,2018-06-19,7.0
197,2018-06-18,7.01
198,2018-06-15,6.98
199,2018-06-14,7.0
200,2018-06-13,6.99
201,2018-06-09,6.76
202,2018-06-08,7.0
203,2018-06-07,7.0
204,2018-06-06,7.0
205,2018-06-05,6.75
206,2018-06-04,6.71
207,2018-06-01,6.96
208,2018-05-31,7.1
209,2018-05-30,7.12
210,2018-05-29,7.08
211,2018-05-28,7.07
212,2018-05-25,6.98
213,2018-05-24,6.84
214,2018-05-23,6.98
215,2018-05-22,7.05
216,2018-05-21,7.05
217,2018-05-18,7.15
218,2018-05-17,7.1
219,2018-05-16,7.04
220,2018-05-15,6.98
221,2018-05-14,6.87
222,2018-05-11,6.77
223,2018-05-10,6.79
224,2018-05-08,6.47
225,2018-05-07,6.7
226,2018-05-04,6.84
227,2018-05-03,7.0
228,2018-04-28,7.07
229,2018-04-27,7.0
230,2018-04-26,7.05
231,2018-04-25,6.91
232,2018-04-24,6.8
233,2018-04-23,6.8
234,2018-04-20,7.03
235,2018-04-19,7.02
236,2018-04-18,7.1
237,2018-04-17,7.01
238,2018-04-16,7.01
239,2018-04-13,6.99
240,2018-04-12,6.99
241,2018-04-11,7.0
242,2018-04-10,7.24
243,2018-04-09,7.07
244,2018-04-06,7.06
245,2018-04-05,7.01
246,2018-04-04,6.94
