,Date,Close
369,2019-01-18,21.2
370,2019-01-21,21.08
371,2019-01-22,23.26
372,2019-01-23,22.53
373,2019-01-24,23.05
374,2019-01-25,22.31
375,2019-01-28,22.32
376,2019-01-29,23.15
377,2019-01-30,22.16
378,2019-01-31,21.85
379,2019-02-01,21.26
380,2019-02-04,22.36
381,2019-02-05,20.77
382,2019-02-06,21.99
383,2019-02-07,23.08
384,2019-02-08,22.68
385,2019-02-11,23.63
386,2019-02-12,22.62
387,2019-02-13,23.44
388,2019-02-14,22.84
389,2019-02-15,22.79
390,2019-02-18,23.19
391,2019-02-19,23.3
392,2019-02-20,24.37
393,2019-02-21,23.47
394,2019-02-22,23.57
395,2019-02-25,24.06
396,2019-02-26,24.14
397,2019-02-27,24.13
398,2019-02-28,23.13
399,2019-03-01,22.56
400,2019-03-04,23.21
401,2019-03-05,23.02
402,2019-03-06,22.65
403,2019-03-07,22.72
404,2019-03-11,22.68
405,2019-03-12,22.38
406,2019-03-13,21.29
407,2019-03-14,21.29
408,2019-03-15,20.8
409,2019-03-18,22.21
410,2019-03-19,22.4
411,2019-03-20,20.97
412,2019-03-21,20.53
413,2019-03-22,21.72
414,2019-03-25,22.07
415,2019-03-26,22.38
416,2019-03-27,22.45
417,2019-03-28,23.05
418,2019-03-29,21.95
419,2019-04-01,24.74
420,2019-04-02,23.57
421,2019-04-03,23.21
