,Date,ofz,t10,spread
92,2018-09-04,4.8571968393774005,2.898,1.9591968393774004
93,2018-09-03,4.8546136957665,2.862,1.9926136957665
94,2018-08-31,4.8467148545400995,2.86,1.9867148545400997
95,2018-08-30,4.9600491662071,2.859,2.1010491662071002
96,2018-08-29,4.9119693101439,2.886,2.0259693101439
97,2018-08-28,4.925274327688401,2.884,2.041274327688401
98,2018-08-27,4.9877854032854,2.846,2.1417854032854002
99,2018-08-24,4.9705193998248,2.813,2.1575193998248
100,2018-08-23,4.995360090068701,2.8280000000000003,2.1673600900687005
101,2018-08-22,4.9637654313135,2.821,2.1427654313135
102,2018-08-21,4.988803043112001,2.842,2.146803043112001
103,2018-08-20,5.013113805857099,2.819,2.194113805857099
104,2018-08-17,4.985432762195,2.864,2.121432762195
105,2018-08-16,4.9522992153278,2.87,2.0822992153278
106,2018-08-15,4.9471147454879,2.864,2.0831147454879
107,2018-08-14,4.9438574803002995,2.9,2.0438574803002996
108,2018-08-13,5.0752676261104,2.877,2.1982676261104004
109,2018-08-10,4.9656570527535004,2.873,2.0926570527535002
110,2018-08-09,5.0091385738102,2.929,2.0801385738102005
111,2018-08-08,4.985842244289299,2.964,2.021842244289299
112,2018-08-07,4.7568698507797995,2.977,1.7798698507797996
113,2018-08-06,4.708127921733099,2.945,1.763127921733099
114,2018-08-03,4.7121950451162,2.951,1.7611950451162
115,2018-08-02,4.7128178498227005,2.986,1.7268178498227003
116,2018-08-01,4.6195319922183,3.005,1.6145319922183
117,2018-07-31,4.6019337841965,2.9619999999999997,1.6399337841964998
118,2018-07-30,4.6056190391188,2.975,1.6306190391187996
119,2018-07-27,4.6236952838812,2.958,1.6656952838811998
120,2018-07-26,4.6707346472713,2.9819999999999998,1.6887346472713003
121,2018-07-25,4.6956804002482,2.9730000000000003,1.7226804002482
122,2018-07-24,4.6838891937454,2.95,1.7338891937453997
123,2018-07-23,4.6843409100993,2.96,1.7243409100992997
124,2018-07-20,4.692605583591299,2.895,1.7976055835912992
125,2018-07-19,4.668836457683299,2.838,1.830836457683299
126,2018-07-18,4.6271344467194,2.875,1.7521344467194
127,2018-07-17,4.5815023621939,2.86,1.7215023621939003
128,2018-07-16,4.5525266033408,2.8560000000000003,1.6965266033407995
129,2018-07-13,4.5608308310362,2.8289999999999997,1.7318308310362003
130,2018-07-12,4.589069238347401,2.8489999999999998,1.740069238347401
131,2018-07-11,4.6035572752425,2.84,1.7635572752425004
132,2018-07-10,4.5959710924118,2.867,1.7289710924117996
133,2018-07-09,4.6278718149608995,2.858,1.7698718149608994
134,2018-07-06,4.6517626831820005,2.824,1.8277626831820006
135,2018-07-05,4.690681224388201,2.833,1.8576812243882008
136,2018-07-04,4.6874843857472,2.842,1.8454843857471999
137,2018-07-03,4.697196239780499,2.833,1.8641962397804992
138,2018-07-02,4.7264644051184,2.8710000000000004,1.8554644051183997
139,2018-06-29,4.7406644414716,2.86,1.8806644414716005
140,2018-06-28,4.806076196387499,2.84,1.9660761963874993
141,2018-06-27,4.834261641108402,2.827,2.0072616411084017
142,2018-06-26,4.8763420369303,2.877,1.9993420369303
143,2018-06-25,4.8420546986432,2.8819999999999997,1.9600546986432006
144,2018-06-22,4.878482528619099,2.895,1.9834825286190987
145,2018-06-21,4.905161015644,2.8989999999999996,2.006161015644001
146,2018-06-20,4.9191910272535,2.937,1.9821910272535006
147,2018-06-19,4.9805620127917,2.897,2.0835620127917003
148,2018-06-18,4.927346159059599,2.917,2.0103461590595995
149,2018-06-15,4.9372484480323,2.9219999999999997,2.0152484480323
150,2018-06-14,4.9531880934439005,2.935,2.0181880934439005
151,2018-06-13,4.937500472182499,2.9739999999999998,1.9635004721824996
152,2018-06-11,4.9060590079399,2.952,1.9540590079399003
153,2018-06-08,4.8948699630529005,2.948,1.9468699630529005
154,2018-06-07,4.9045244120917,2.9219999999999997,1.9825244120917
155,2018-06-06,4.896771351379799,2.9739999999999998,1.9227713513797995
156,2018-06-05,4.8855888711960995,2.926,1.9595888711960994
157,2018-06-04,4.886532119048599,2.944,1.9425321190485993
158,2018-06-01,4.875859244454901,2.9019999999999997,1.9738592444549012
159,2018-05-31,4.872612395397001,2.86,2.0126123953970008
160,2018-05-30,4.8280084745079,2.8569999999999998,1.9710084745079004
161,2018-05-29,4.8343639577128,2.79,2.0443639577128003
162,2018-05-28,4.8511290756032,2.898,1.9531290756032003
163,2018-05-25,4.8416949470494,2.931,1.9106949470494001
164,2018-05-24,4.8955691889116,2.977,1.9185691889116003
165,2018-05-23,4.9549872787705,2.9939999999999998,1.9609872787705003
