,Date,3 mo
2216,1998-11-09,4.58
2217,1998-11-10,4.54
2218,1998-11-12,4.48
2219,1998-11-13,4.47
2220,1998-11-16,4.52
2221,1998-11-17,4.42
2222,1998-11-18,4.44
2223,1998-11-19,4.46
2224,1998-11-20,4.46
2225,1998-11-23,4.59
2226,1998-11-24,4.62
2227,1998-11-25,4.57
2228,1998-11-27,4.55
2229,1998-11-30,4.57
2230,1998-12-01,4.49
2231,1998-12-02,4.48
2232,1998-12-03,4.45
2233,1998-12-04,4.48
2234,1998-12-07,4.46
2235,1998-12-08,4.43
2236,1998-12-09,4.43
2237,1998-12-10,4.48
2238,1998-12-11,4.50
2239,1998-12-14,4.49
2240,1998-12-15,4.49
2241,1998-12-16,4.46
2242,1998-12-17,4.46
2243,1998-12-18,4.49
2244,1998-12-21,4.51
2245,1998-12-22,4.50
2246,1998-12-23,4.58
2247,1998-12-24,4.57
2248,1998-12-28,4.56
2249,1998-12-29,4.59
2250,1998-12-30,4.55
2251,1998-12-31,4.48
2252,1999-01-04,4.49
2253,1999-01-05,4.48
2254,1999-01-06,4.47
2255,1999-01-07,4.44
2256,1999-01-08,4.48
2257,1999-01-11,4.51
2258,1999-01-12,4.48
2259,1999-01-13,4.45
2260,1999-01-14,4.44
2261,1999-01-15,4.44
2262,1999-01-19,4.41
2263,1999-01-20,4.37
2264,1999-01-21,4.32
2265,1999-01-22,4.36
2266,1999-01-25,4.44
2267,1999-01-26,4.46
2268,1999-01-27,4.47
2269,1999-01-28,4.49
2270,1999-01-29,4.48
2271,1999-02-01,4.53
2272,1999-02-02,4.53
2273,1999-02-03,4.48
2274,1999-02-04,4.49
2275,1999-02-05,4.50
2276,1999-02-08,4.54
2277,1999-02-09,4.53
2278,1999-02-10,4.48
2279,1999-02-11,4.50
2280,1999-02-12,4.54
2281,1999-02-16,4.56
2282,1999-02-17,4.52
2283,1999-02-18,4.53
2284,1999-02-19,4.56
2285,1999-02-22,4.65
2286,1999-02-23,4.66
2287,1999-02-24,4.67
2288,1999-02-25,4.62
2289,1999-02-26,4.66
2290,1999-03-01,4.71
2291,1999-03-02,4.66
2292,1999-03-03,4.62
2293,1999-03-04,4.62
2294,1999-03-05,4.63
2295,1999-03-08,4.64
2296,1999-03-09,4.60
2297,1999-03-10,4.60
2298,1999-03-11,4.62
2299,1999-03-12,4.60
2300,1999-03-15,4.61
2301,1999-03-16,4.55
2302,1999-03-17,4.53
2303,1999-03-18,4.51
2304,1999-03-19,4.51
2305,1999-03-22,4.52
2306,1999-03-23,4.50
2307,1999-03-24,4.50
2308,1999-03-25,4.51
2309,1999-03-26,4.51
2310,1999-03-29,4.51
2311,1999-03-30,4.48
2312,1999-03-31,4.49
2313,1999-04-01,4.44
2314,1999-04-02,4.43
2315,1999-04-05,4.40
2316,1999-04-06,4.42
2317,1999-04-07,4.42
2318,1999-04-08,4.40
2319,1999-04-09,4.42
2320,1999-04-12,4.32
2321,1999-04-13,4.32
2322,1999-04-14,4.30
2323,1999-04-15,4.32
2324,1999-04-16,4.34
2325,1999-04-19,4.36
2326,1999-04-20,4.38
2327,1999-04-21,4.36
2328,1999-04-22,4.40
2329,1999-04-23,4.43
2330,1999-04-26,4.47
2331,1999-04-27,4.50
2332,1999-04-28,4.51
2333,1999-04-29,4.51
2334,1999-04-30,4.55
2335,1999-05-03,4.62
2336,1999-05-04,4.63
2337,1999-05-05,4.61
2338,1999-05-06,4.62
2339,1999-05-07,4.62
2340,1999-05-10,4.60
2341,1999-05-11,4.62
2342,1999-05-12,4.60
2343,1999-05-13,4.59
2344,1999-05-14,4.64
